                                     | Core 0    
  Instructions                       |    1353045
  Cycles                             |    3461724
  IPC                                |       0.39
  Time (ns)                          |    1301400
  Idle time (ns)                     |         -2
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |     103006
  num incorrect                      |          8
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     211016
    num cache misses                 |         14
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     934053
    num cache misses                 |         11
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         25
  average dram access latency (ns)   |     125.14
  average dram queueing delay        |      71.71
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          7
  num loads from dram cache          |          0
  num loads from remote cache        |          0
